time,type,pre1,pre1+se,pre1-se,watering,watering+se,watering-se,pre2,pre2+se,pre2-se,nonwatering,nonwatering+se,nonwatering-se
00:00,SSB,6.065,6.844523982,5.285476018,10.73564103,11.62969898,9.841583076,5.745833333,6.328644359,5.163022307,6.171666667,6.852642451,5.490690883
01:00,SSB,7.077777778,8.512082167,5.643473389,19.53,22.92199106,16.13800894,6.2,7.036512454,5.363487546,7.598,8.399717517,6.796282483
02:00,SSB,16.89230769,19.8034465,13.98116888,28.27666667,31.87357794,24.67975539,9.784615385,10.35683686,9.212393911,7.543333333,8.288498689,6.798167978
03:00,SSB,21.98333333,25.35224416,18.6144225,27.70166667,31.16286145,24.24047188,23.24615385,28.53256173,17.95974596,8.846551724,9.762638926,7.930464522
04:00,SSB,35.8,47.76527963,23.83472037,46.99354839,55.70929291,38.27780386,39.9,50.50853737,29.29146263,10.515,11.85408582,9.17591418
05:00,SSB,49.95833333,65.4616594,34.45500726,82.79375,97.78507623,67.80242377,73.325,92.55731195,54.09268805,13.945,16.70066724,11.18933276
06:00,SSB,105.9,130.6581796,81.14182043,230.8214286,251.4755741,210.167283,164.45,204.0009188,124.8990812,42.90322581,50.14118288,35.66526874
07:00,SSB,159.4384615,196.4251784,122.4517447,260.7222222,282.8892099,238.5552345,124.2,160.4541588,87.94584123,6.777777778,7.747277635,5.808277921
08:00,SSB,63.27,83.15421746,43.38578254,162.844,183.0892168,142.5987832,76.15,104.247377,48.05262297,2.684375,3.384586446,1.984163554
09:00,SSB,39.15777778,53.72647937,24.58907618,87.11551724,102.2416239,71.98941058,66.81333333,95.03558736,38.59107931,4.51,4.653108351,4.366891649
10:00,SSB,2.586,3.188551906,1.983448094,85.48,104.1077659,66.85223406,13.895,22.31310623,5.47689377,0,0,0
11:00,SSB,0,0,0,59.2015,75.71365366,42.68934634,0,0,0,0,0,0
12:00,SSB,0,0,0,75.08571429,88.64330766,61.52812091,0,0,0,0,0,0
13:00,SSB,0,0,0,39.16666667,40.90937635,37.42395698,0,0,0,0,0,0
14:00,SSB,0,0,0,5.816666667,6.71656378,4.916769553,0,0,0,0,0,0
15:00,SSB,1.145,1.247530483,1.042469517,9.7,11.81187121,7.588128792,0,0,0,0,0,0
16:00,SSB,0,0,0,36.37333333,47.28926865,25.45739802,0,0,0,4.03,4.566915056,3.493084944
17:00,SSB,3.801666667,4.325331194,3.278002139,12.34166667,14.46968468,10.21364866,4.105,4.582270887,3.627729113,4.746666667,6.19423487,3.299098463
18:00,SSB,3.972222222,4.527270386,3.417174059,19.69333333,22.480817,16.90584967,3.527777778,4.0026755,3.052880056,4.399230769,5.217912392,3.580549146
19:00,SSB,5.761111111,6.36387111,5.158351113,14.61580645,16.67630702,12.55530588,5.35625,5.615370734,5.097129266,4.413333333,5.647103276,3.179563391
20:00,SSB,6.4,6.6871744,6.1128256,10.30033333,12.08843701,8.512229652,18.46666667,25.21018665,11.72314669,3.377777778,3.667080425,3.08847513
21:00,SSB,7.255555556,7.705277311,6.8058338,10.36933333,11.74311812,8.995548542,8.6625,9.918086475,7.406913525,3.397083333,3.73994075,3.054225917
22:00,SSB,9.511111111,10.47802608,8.544196144,12.96466667,14.82598267,11.10335066,9.444444444,10.75311554,8.135773352,3.274166667,3.469874886,3.078458447
23:00,SSB,9.733333333,11.32823261,8.138434056,15.53225806,18.22553461,12.83898152,6.816666667,7.86624036,5.767092973,5.525,6.28434685,4.76565315
00:00,SAH,9.7,11.61052963,7.789470373,15.26111111,17.32361449,13.19860773,7.55,8.394882927,6.705117073,8.734,9.935093724,7.532906276
01:00,SAH,34.58421053,45.24331056,23.9251105,14.87666667,16.40587622,13.34745712,18.43666667,23.37666772,13.49666562,8.912580645,9.9371311,7.88803019
02:00,SAH,18.91666667,23.20634798,14.62698536,17.79,20.72043171,14.85956829,31.46923077,45.54227094,17.3961906,10.71633333,12.2983925,9.134274163
03:00,SAH,14.775,16.19856775,13.35143225,19.94,21.65119581,18.22880419,13.75,16.35622918,11.14377082,9.625483871,10.72464842,8.526319318
04:00,SAH,46.21538462,66.9474906,25.48327863,27.32580645,33.40310076,21.24851214,28.03333333,44.40196582,11.66470084,17.208,20.02507987,14.39092013
05:00,SAH,28.275,33.77520359,22.77479641,24.05806452,26.6746719,21.44145713,25.25833333,29.65352418,20.86314249,10.985,12.01506513,9.954934873
06:00,SAH,54.93076923,64.02708089,45.83445757,65.725,74.92354542,56.52645458,40.50769231,49.41933924,31.59604537,18.30625,20.78589336,15.82660664
07:00,SAH,53.80769231,65.21856878,42.39681583,97.425,109.0659542,85.78404582,60.86666667,79.26350114,42.4698322,15.48125,18.5852084,12.3772916
08:00,SAH,60.07083333,79.69107909,40.45058757,84.18928571,95.85831042,72.52026101,53.64416667,76.46279948,30.82553385,3.294615385,3.814412358,2.774818411
09:00,SAH,44.31111111,61.19891403,27.42330819,105.37,119.1798855,91.56011453,28.18777778,38.64058693,17.73496862,0,0,0
10:00,SAH,4.336666667,5.517723946,3.155609388,78.44548387,94.76206717,62.12890057,3,4.061822333,1.938177667,0,0,0
11:00,SAH,0,0,0,64.9425,81.32985893,48.55514107,0,0,0,0,0,0
12:00,SAH,0,0,0,42.32166667,52.12319644,32.52013689,0,0,0,0,0,0
13:00,SAH,0,0,0,13.11,19.4204741,6.799525903,0,0,0,0,0,0
14:00,SAH,0,0,0,32.5,46.51787549,18.48212451,0,0,0,3.6,3.6,3.6
15:00,SAH,0,0,0,9.868333333,12.64786213,7.088804538,0,0,0,0,0,0
16:00,SAH,0,0,0,13.18333333,19.910203,6.45646367,0,0,0,8.758333333,10.30503308,7.211633591
17:00,SAH,11.13333333,12.35573231,9.910934356,11.82695652,13.09597702,10.55793603,12.67142857,16.17831476,9.164542384,4.038333333,4.54710341,3.529563257
18:00,SAH,6.804444444,7.926531467,5.682357422,14.141,16.32918531,11.95281469,7.661111111,10.37207579,4.950146432,4.092142857,4.458056835,3.726228879
19:00,SAH,11.7,14.12944895,9.270551046,13.63548387,15.94225149,11.32871625,9.042857143,10.07516329,8.010550998,4.191578947,4.801329481,3.581828413
20:00,SAH,22.77272727,26.08406744,19.46138711,12.12066667,14.10367437,10.13765897,12.81818182,15.36791258,10.26845105,4.726666667,5.608522874,3.844810459
21:00,SAH,11.31666667,12.52886356,10.10446978,10.39733333,11.75311682,9.041549842,13.69166667,15.78727909,11.59605424,3.969166667,4.441225881,3.497107453
22:00,SAH,10.51111111,11.32464546,9.697576764,8.875666667,9.559061084,8.192272249,9.5,10.10736224,8.892637761,4.859166667,5.159779419,4.558553915
23:00,SAH,13.71,18.80151156,8.618488437,13.507,15.43912567,11.57487433,12.33461538,15.34404526,9.325185508,6.57625,7.405007607,5.747492393